auction_id,auction_title,seller_id,lot_number,lot_title,lot_details,bid_count,current_bid,winner_id,first_name,last_name,address_one,address_two,city,state,zip
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10081,"Air Jade 4"" 7.5 Ft AC Decorative PVC Line Set Cover Kit, Heavy Duty Tubing Cover Set for Mini Split, Heat Pumps and Central Air Conditioner","<br><b>Description: </b>Air Jade 4 7.5 Ft AC Decorative PVC Line Set Cover Kit, Heavy Duty Tubing Cover Set for Mini Split, Heat Pumps and Central Air Conditioner<br><b>Additional Detail: </b>Open Box""",7,21.69,109332,Cheryl,AnyName,Sample Address,,AnyCity,MO,64015
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10035,"Tyger Auto T1 Soft Roll Up Truck Bed Tonneau Cover for 1988-2007 Chevy Silverado / GMC Sierra 1500 2500 HD 3500 HD 2007 Classic ONLY Fleetside 6'6"" Bed TG-BC1C9009, Black","<br><b>Description: </b>Tyger Auto T1 Soft Roll Up Truck Bed Tonneau Cover for 1988 2007 Chevy Silverado / GMC Sierra 1500 2500 HD 3500 HD 2007 Classic ONLY Fleetside 6'6 Bed TG BC1C9009, Black<br><b>Additional Detail: </b>Open Box""",17,71,109577,Jerry,AnyName,Sample Address,,AnyCity,KS,66064
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10038,Seachem Flourite Black Clay Gravel - Stable Porous Natural Planted Aquarium Substrate 15.4 lbs,<br><b>Description: </b>Seachem Flourite Black Clay Gravel   Stable Porous Natural Planted Aquarium Substrate 15.4 lbs<br><b>Location: </b>Row C<br><b>Additional Detail: </b>Open Box,1,5,109856,Nhia,AnyName,Sample Address,,AnyCity,MO,64137
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10010,"FURINNO Basic 3-Tier Bookcase Storage Shelves, Pink","<br><b>Description: </b>FURINNO Basic 3 Tier Bookcase Storage Shelves, Pink<br><b>Additional Detail: </b>Open Box",3,11.51,109900,Deonna,AnyName,Sample Address,,AnyCity,KS,66221
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10090,"Pet Gear PG8450NVS Zipperless Entry, Easy One-Hand Fold, Air Tires NV Pet Stroller, Large, Sky Line","<br><b>Description: </b>Pet Gear PG8450NVS Zipperless Entry, Easy One Hand Fold, Air Tires NV Pet Stroller, Large, Sky Line<br><b>Location: </b>Row BB",23,48.5,110295,Marna,AnyName,Sample Address,,AnyCity,KS,66012
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,22013,Simple Houseware Standard Rod Garment Rack,<br><b>Description: </b>Simple Houseware Standard Rod Garment Rack<br><b>Additional Detail: </b>Open Box,1,5,110662,Tee,AnyName,Sample Address,,AnyCity,MO,64138
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10080,Amazon Basics Small Black Suitcase with Wheels and Telescoping Handle,"<br><b>Description: </b>Amazon Basics 30 inch, Black, 29 inch<br><b>Additional Detail: </b>Open Box",3,7,110817,Louis,AnyName,Sample Address,C,AnyCity,MO,64052
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10071,"Britax One4Life ClickTight All-In-One Car Seat&nbsp; 10 Years of Use&nbsp; Infant, Convertible, Booster&nbsp; 5 to 120 Pounds - SafeWash Fabric, Eclipse Black , 20.5 x 19.5 x 25 Inch&nbsp;","<br><b>Description:&nbsp;</b>Britax One4Life ClickTight All-In-One Car Seat&nbsp; 10 Years of Use&nbsp; Infant, Convertible, Booster&nbsp; 5 to 120 Pounds - SafeWash Fabric, Eclipse Black , 20.5 x 19.5 x 25 Inch&nbsp;<br><b>Location: </b>Row C<br><b>Additional Detail: </b>Open Box",19,117,110838,Jessica,AnyName,Sample Address,,AnyCity,MO,64029
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10070,"Evenflo Gold Revolve360 Rotational All-in-1 Convertible Car Seat Swivel Car Seat Rotating Car Seat for All Ages Swivel Baby Car Seat Mode Changing 4120Lb Car Seat and Booster Car Seat, Onyx","<br><b>Description: </b>Evenflo Gold Revolve360 Rotational All in 1 Convertible Car Seat Swivel Car Seat Rotating Car Seat for All Ages Swivel Baby Car Seat Mode Changing 4120Lb Car Seat and Booster Car Seat, Onyx<br><b>Location: </b>Row BB<br><b>Additional Detail: </b>Open Box",18,128.5,110838,Jessica,AnyName,Sample Address,,AnyCity,MO,64029
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10006,"iTouchless 13 Gallon Touchless Sensor Trash Can with AbsorbX Odor Control System, Stainless Steel, Extra-Wide Lid Opening Kitchen Garbage Bin, Silver","<br><b>Description: </b>iTouchless 13 Gallon Touchless Sensor Trash Can with AbsorbX Odor Control System, Stainless Steel, Extra Wide Lid Opening Kitchen Garbage Bin, Silver<br><b>Additional Detail: </b>Open Box",14,26.5,110923,Freddy,AnyName,Sample Address,,AnyCity,KS,66062
